lengths,depth,concrete_strength,steel_strength,width,reinforcement_ratio,area,volume,mass,weight,load,max_moment_due_to_selfweight,shear_load_due_to_selfweight,area_concrete,area_steel,x/d,ultimate_bending_moment_concrete,ultimate_bending_moment_steel,Warehouse,IDs
4.2,0.4,16730000.7,371585067.7,0.4,1.3,0.2,0.8,1917.0,18806.0,40388.1,21199.3,20194.0,0.2,0.0023,0.6,151580.5,51895902.7,Warehouse_7,ID_128
2.9,0.3,16730001.0,304598978.4,0.4,2.5,0.1,0.4,935.0,9172.2,27382.5,9851.5,13691.3,0.1,0.0032,1.1,65846.6,38323319.8,Warehouse_4,ID_136
3.7,0.4,16729999.3,497584465.1,0.4,1.4,0.1,0.5,1323.8,12986.0,32531.2,15147.9,16265.6,0.1,0.0019,0.9,111758.8,46013487.4,Warehouse_6,ID_138
5.0,0.5,16729999.8,422494970.4,0.4,2.7,0.2,1.0,2550.2,25017.3,48773.4,30522.9,24386.7,0.2,0.0054,1.5,202416.5,52220784.2,Warehouse_5,ID_142
4.1,0.3,16730000.1,460722425.2,0.4,0.3,0.1,0.5,1115.4,10942.2,29772.0,15412.0,14886.0,0.1,0.0004,0.2,60146.4,13572387.2,Warehouse_3,ID_147
4.1,0.4,16730000.2,273341033.9,0.4,1.8,0.1,0.6,1501.5,14729.6,34884.9,17714.1,17442.5,0.1,0.0026,0.7,92664.0,41457952.9,Warehouse_2,ID_151
3.8,0.4,16730000.6,279093423.5,0.5,1.2,0.2,0.6,1513.5,14847.7,35044.5,16665.6,17522.2,0.2,0.002,0.5,104312.4,36347749.3,Warehouse_5,ID_173
4.3,0.4,16730001.6,407954409.5,0.4,1.0,0.2,0.7,1758.7,17252.9,38291.4,20726.6,19145.7,0.2,0.0017,0.6,132508.0,43055001.2,Warehouse_7,ID_192
3.7,0.4,16730000.6,341184751.0,0.5,3.6,0.2,0.6,1641.9,16107.1,36744.6,17138.2,18372.3,0.2,0.0061,1.7,111209.6,27164049.0,Warehouse_8,ID_194
4.2,0.4,16730000.1,400852552.4,0.3,2.0,0.1,0.5,1235.6,12121.6,31364.2,16278.7,15682.1,0.1,0.0024,1.1,88765.6,37878736.8,Warehouse_5,ID_200
5.3,0.5,16729999.5,455974911.8,0.4,3.2,0.2,1.2,3018.1,29607.9,54970.7,36641.0,27485.3,0.2,0.007,1.9,235493.7,17560748.0,Warehouse_6,ID_223
3.7,0.4,16730000.6,182158960.7,0.3,1.8,0.1,0.4,896.0,8789.3,26865.6,12283.4,13432.8,0.1,0.0018,0.5,65165.7,21896296.3,Warehouse_3,ID_224
3.8,0.4,16730000.9,371774035.4,0.4,2.4,0.2,0.6,1485.3,14571.2,34671.1,16560.2,17335.6,0.1,0.0037,1.2,122951.4,47850951.1,Warehouse_4,ID_227
5.1,0.5,16729999.9,397306909.7,0.3,1.6,0.1,0.7,1852.8,18176.2,39537.8,25017.8,19768.9,0.1,0.0023,0.8,144406.7,47369530.3,Warehouse_3,ID_231
4.7,0.4,16729999.3,483202006.4,0.5,1.7,0.2,1.0,2382.6,23373.4,46554.0,27371.0,23277.0,0.2,0.0034,1.1,178043.9,66460240.4,Warehouse_1,ID_242
5.0,0.5,16730000.7,280989609.0,0.3,1.6,0.1,0.7,1721.5,16888.0,37798.8,23530.8,18899.4,0.1,0.0023,0.6,132894.1,38907319.3,Warehouse_2,ID_243
3.2,0.3,16729999.3,364917229.0,0.3,2.1,0.1,0.3,796.0,7808.5,25541.4,10094.7,12770.7,0.1,0.0021,1.1,61802.0,30980268.4,Warehouse_8,ID_249
4.9,0.5,16729999.3,284443995.0,0.4,2.3,0.2,0.9,2240.9,21983.1,44677.1,27348.4,22338.6,0.2,0.0042,0.9,186333.2,59522776.1,Warehouse_7,ID_252
4.7,0.5,16730000.7,313731826.6,0.5,1.8,0.2,1.1,2666.0,26153.4,50307.1,29737.2,25153.5,0.2,0.004,0.7,220939.3,69761623.9,Warehouse_4,ID_259
4.1,0.4,16729999.5,376107019.9,0.4,0.5,0.1,0.6,1437.4,14101.0,34036.4,17606.9,17018.2,0.1,0.0006,0.2,111963.0,18691026.0,Warehouse_6,ID_264
3.7,0.4,16730000.1,297884030.4,0.5,2.4,0.2,0.7,1767.7,17341.0,38410.4,17930.0,19205.2,0.2,0.0046,1.0,136702.5,59823141.1,Warehouse_2,ID_274
2.7,0.3,16729999.8,315907137.7,0.4,2.5,0.1,0.3,767.0,7524.5,25158.1,8545.4,12579.0,0.1,0.0028,1.2,57551.5,32823052.4,Warehouse_4,ID_282
3.0,0.3,16730000.4,300477432.2,0.4,1.0,0.1,0.4,1048.6,10286.5,28886.8,10770.0,14443.4,0.1,0.0015,0.4,86773.8,30407008.5,Warehouse_5,ID_285
3.8,0.4,16729999.4,295098086.7,0.4,1.3,0.2,0.6,1464.5,14366.8,34395.1,16436.4,17197.6,0.2,0.0021,0.5,98991.2,38701502.9,Warehouse_6,ID_293
3.6,0.4,16729999.4,443316787.6,0.3,0.4,0.1,0.5,1192.9,11702.5,30798.4,13861.5,15399.2,0.1,0.0005,0.2,102007.7,17394660.4,Warehouse_8,ID_301
4.7,0.5,16730000.8,301759502.2,0.3,2.4,0.2,0.7,1782.1,17482.9,38601.9,22482.2,19301.0,0.1,0.0037,1.0,142156.6,50041511.1,Warehouse_2,ID_319
3.6,0.4,16729999.5,356431674.4,0.4,0.7,0.2,0.6,1382.1,13558.0,33303.3,14899.5,16651.7,0.2,0.0012,0.4,113652.8,29559305.6,Warehouse_5,ID_325
3.2,0.3,16730000.8,367469476.5,0.4,2.8,0.1,0.4,1111.7,10905.7,29722.8,11771.0,14861.4,0.1,0.0039,1.5,84431.5,34053866.3,Warehouse_3,ID_349
3.7,0.4,16729999.7,353893031.0,0.5,1.0,0.2,0.7,1628.6,15976.1,36567.8,16965.5,18283.9,0.2,0.0017,0.5,128476.3,40689847.0,Warehouse_2,ID_355
3.0,0.3,16730001.1,308126104.7,0.5,3.2,0.1,0.4,1077.6,10571.1,29271.0,11041.4,14635.5,0.1,0.0044,1.4,66273.8,33532297.8,Warehouse_7,ID_356
3.7,0.4,16730000.0,316152462.8,0.3,2.8,0.1,0.4,1145.6,11238.2,30171.6,14060.9,15085.8,0.1,0.0034,1.2,76536.5,35788721.9,Warehouse_7,ID_357
4.8,0.4,16730001.0,308879611.7,0.3,2.4,0.1,0.6,1395.1,13686.2,33476.4,20173.2,16738.2,0.1,0.0027,1.0,99393.3,37518381.6,Warehouse_2,ID_358
4.5,0.3,16730000.8,327743238.9,0.3,3.6,0.1,0.4,1023.1,10036.4,28549.1,16123.2,14274.5,0.1,0.0032,1.7,51342.9,14765579.5,Warehouse_8,ID_360
3.9,0.4,16729999.8,476418866.6,0.4,0.7,0.2,0.7,1634.5,16034.5,36646.6,17823.9,18323.3,0.2,0.0013,0.5,132079.9,39954500.4,Warehouse_1,ID_365
4.1,0.4,16730000.3,499756034.8,0.4,2.6,0.2,0.7,1722.1,16893.9,37806.8,19520.7,18903.4,0.2,0.0042,1.7,139292.1,26705961.6,Warehouse_7,ID_366
5.3,0.4,16729999.2,549349031.6,0.5,1.4,0.2,1.1,2617.9,25681.1,49669.5,32834.6,24834.8,0.2,0.0028,1.0,166434.7,65200526.6,Warehouse_6,ID_367
4.2,0.4,16729999.5,376408960.1,0.5,2.3,0.2,0.9,2147.6,21067.5,43441.1,22857.1,21720.6,0.2,0.0046,1.1,164724.8,64478577.8,Warehouse_1,ID_378
4.6,0.4,16730000.6,445814378.2,0.3,2.6,0.1,0.6,1398.6,13720.2,33522.3,19328.0,16761.1,0.1,0.0031,1.5,106529.9,27830873.7,Warehouse_4,ID_379
3.8,0.3,16730001.4,335207656.7,0.3,2.6,0.1,0.4,937.2,9194.2,27412.2,12909.2,13706.1,0.1,0.0025,1.2,56611.0,28843106.1,Warehouse_2,ID_389
3.6,0.4,16729999.8,288489444.6,0.4,2.1,0.2,0.6,1541.0,15117.1,35408.1,15851.9,17704.1,0.2,0.0036,0.8,127117.8,53167528.8,Warehouse_6,ID_390
4.0,0.4,16730001.3,373815513.5,0.3,2.2,0.1,0.6,1480.8,14527.1,34611.6,17490.4,17305.8,0.1,0.0031,1.1,117278.4,46989705.6,Warehouse_8,ID_393
3.4,0.3,16730000.4,391950838.1,0.4,1.2,0.1,0.4,1050.7,10306.9,28914.3,12219.3,14457.1,0.1,0.0015,0.7,58941.2,33738389.5,Warehouse_1,ID_402
4.1,0.4,16730000.9,300026584.0,0.4,3.4,0.2,0.7,1827.3,17925.7,39199.8,20109.5,19599.9,0.2,0.0058,1.3,147574.8,49732165.6,Warehouse_3,ID_408
4.3,0.4,16729999.6,236284877.0,0.4,3.0,0.2,0.7,1716.5,16839.2,37733.0,20423.3,18866.5,0.1,0.0047,0.9,127067.9,50231324.6,Warehouse_3,ID_417
4.1,0.4,16729999.7,514297405.9,0.4,0.9,0.1,0.6,1429.7,14025.8,33934.8,17306.6,16967.4,0.1,0.0013,0.6,101575.9,39737845.0,Warehouse_7,ID_440
3.7,0.4,16729999.8,356961331.4,0.4,2.8,0.1,0.5,1379.1,13528.6,33263.6,15195.0,16631.8,0.1,0.0042,1.4,95131.6,38740842.1,Warehouse_5,ID_444
4.2,0.4,16729999.9,408999336.3,0.5,3.4,0.2,0.9,2297.4,22537.4,45425.5,23893.3,22712.7,0.2,0.0072,1.8,186794.6,21032682.9,Warehouse_6,ID_458
4.1,0.4,16730000.7,394906484.8,0.3,1.2,0.1,0.6,1415.9,13889.9,33751.4,17389.9,16875.7,0.1,0.0017,0.6,117181.3,39201262.5,Warehouse_3,ID_477
4.4,0.5,16730000.3,193213083.7,0.4,2.0,0.2,0.9,2204.9,21629.7,44200.1,24291.8,22100.1,0.2,0.004,0.5,182834.5,49835928.0,Warehouse_4,ID_496
4.2,0.4,16729999.9,375421976.8,0.4,2.5,0.2,0.8,1950.7,19136.4,40834.1,21567.1,20417.1,0.2,0.0045,1.2,149810.5,55961086.8,Warehouse_3,ID_497
4.2,0.4,16730000.4,336588593.1,0.3,2.7,0.1,0.5,1173.2,11509.2,30537.4,16153.6,15268.7,0.1,0.0029,1.2,90817.5,34288174.8,Warehouse_4,ID_509
3.7,0.4,16729999.5,326474643.3,0.5,1.0,0.2,0.6,1572.2,15423.5,35821.8,16656.5,17910.9,0.2,0.0017,0.4,116282.8,37152457.8,Warehouse_2,ID_520
4.6,0.5,16730000.7,358196311.4,0.4,3.1,0.2,0.8,2016.4,19781.3,41704.8,24110.8,20852.4,0.2,0.0053,1.5,157975.2,44503382.6,Warehouse_2,ID_524
4.7,0.4,16730000.5,369938352.6,0.4,3.8,0.2,0.8,2189.7,21481.2,43999.7,25690.0,21999.8,0.2,0.0068,1.9,141660.5,13659871.9,Warehouse_2,ID_528
4.4,0.4,16729999.6,298820880.7,0.4,3.1,0.1,0.6,1576.2,15462.1,35873.9,19711.9,17936.9,0.1,0.0043,1.3,88343.4,40296920.1,Warehouse_7,ID_588
3.9,0.4,16730000.5,451182726.0,0.4,0.4,0.1,0.6,1394.2,13676.7,33463.6,16384.2,16731.8,0.1,0.0005,0.2,116324.1,18797595.7,Warehouse_3,ID_595
3.6,0.4,16730000.8,416854363.3,0.5,0.4,0.2,0.6,1568.8,15389.7,35776.1,16301.6,17888.1,0.2,0.0007,0.2,128445.7,22665063.6,Warehouse_1,ID_596
4.4,0.5,16730000.3,430294914.6,0.4,2.9,0.2,0.8,1971.8,19343.3,41113.5,22506.0,20556.7,0.2,0.0051,1.7,159907.2,33430256.5,Warehouse_1,ID_605
4.4,0.4,16729999.3,285327416.0,0.4,1.2,0.2,0.8,1953.8,19166.5,40874.7,22717.5,20437.4,0.2,0.0021,0.5,155118.3,41069008.9,Warehouse_4,ID_608
3.5,0.4,16729999.7,437267999.7,0.5,3.2,0.2,0.6,1566.9,15371.0,35750.9,15467.0,17875.4,0.2,0.0057,2.0,114218.1,4224343.2,Warehouse_4,ID_622
4.0,0.4,16729998.8,511454678.4,0.4,2.5,0.2,0.7,1689.9,16578.1,37380.5,18660.0,18690.2,0.2,0.0042,1.7,119634.1,23591853.5,Warehouse_3,ID_623
3.8,0.4,16730000.0,316928742.4,0.4,2.4,0.2,0.6,1581.7,15516.6,35947.4,17256.1,17973.7,0.2,0.0039,1.0,118021.9,51912922.2,Warehouse_1,ID_631
3.7,0.4,16730001.2,248412281.7,0.3,1.7,0.1,0.4,1069.9,10495.4,29168.8,13572.1,14584.4,0.1,0.002,0.6,85971.4,30701903.1,Warehouse_6,ID_634
4.1,0.4,16730001.1,363598631.8,0.4,1.9,0.2,0.7,1865.2,18297.8,39702.0,20575.7,19851.0,0.2,0.0035,0.9,157065.1,58713313.3,Warehouse_7,ID_646
3.6,0.4,16729999.5,427556200.4,0.3,1.3,0.1,0.4,964.4,9460.8,27772.0,12467.9,13886.0,0.1,0.0014,0.8,80309.3,33004289.7,Warehouse_6,ID_650
4.2,0.4,16730000.7,338347530.9,0.4,0.6,0.2,0.8,2017.9,19796.0,41724.5,21920.6,20862.3,0.2,0.0011,0.3,174900.6,29102064.7,Warehouse_7,ID_662
4.8,0.4,16730000.6,605950836.5,0.5,0.3,0.2,1.0,2387.9,23425.6,46624.5,28121.3,23312.3,0.2,0.0006,0.2,179799.8,26703685.0,Warehouse_8,ID_676
4.7,0.5,16729999.8,341219189.7,0.5,2.6,0.2,1.0,2639.4,25892.9,49955.5,29544.7,24977.7,0.2,0.0057,1.2,212790.5,71276346.4,Warehouse_7,ID_700
4.5,0.4,16729999.9,246196725.0,0.5,3.5,0.2,0.9,2285.5,22420.4,45267.5,25267.6,22633.8,0.2,0.007,1.2,148003.5,61447873.0,Warehouse_2,ID_710
4.8,0.5,16729998.3,219341768.5,0.4,1.4,0.2,0.9,2217.9,21757.8,44373.0,26748.1,22186.5,0.2,0.0027,0.4,178408.7,40440739.4,Warehouse_5,ID_735
3.7,0.4,16730001.1,300504559.9,0.3,1.4,0.1,0.5,1202.3,11794.8,30922.9,14458.1,15461.5,0.1,0.0018,0.6,99395.6,33834833.6,Warehouse_5,ID_749
4.2,0.4,16729999.2,423986329.4,0.4,3.4,0.1,0.6,1563.0,15333.2,35699.9,18832.7,17849.9,0.1,0.0049,2.0,95411.0,279551.8,Warehouse_4,ID_758
2.9,0.3,16729999.2,312076867.8,0.5,2.5,0.2,0.5,1209.3,11863.3,31015.5,11299.6,15507.7,0.2,0.0042,1.1,93851.3,49557897.4,Warehouse_2,ID_759
4.0,0.4,16730000.3,414947845.6,0.3,1.8,0.1,0.5,1192.8,11701.4,30796.9,15567.3,15398.5,0.1,0.0021,1.0,93392.3,38243183.7,Warehouse_1,ID_765
3.8,0.4,16729999.0,409384538.2,0.4,2.3,0.1,0.6,1421.8,13948.2,33830.1,16047.3,16915.0,0.1,0.0035,1.3,101910.0,42436863.4,Warehouse_6,ID_767
5.1,0.5,16729999.7,351450557.2,0.3,2.1,0.1,0.7,1677.4,16455.0,37214.2,23882.6,18607.1,0.1,0.0027,1.0,123494.8,43110017.6,Warehouse_8,ID_775
3.7,0.4,16729999.7,520076596.0,0.3,2.2,0.1,0.4,1005.8,9866.9,28320.3,13181.9,14160.1,0.1,0.0024,1.6,76935.9,22864701.6,Warehouse_7,ID_779
3.4,0.4,16729999.6,439220782.3,0.3,0.6,0.1,0.4,890.0,8731.1,26787.0,11418.2,13393.5,0.1,0.0007,0.4,69245.9,21217563.9,Warehouse_3,ID_793
3.2,0.4,16729999.3,321574011.5,0.5,1.1,0.2,0.6,1401.6,13749.8,33562.2,13489.7,16781.1,0.2,0.0019,0.5,118945.7,41059520.9,Warehouse_2,ID_808
3.5,0.3,16729999.5,424591422.7,0.3,1.5,0.1,0.4,894.0,8770.6,26840.3,11887.9,13420.1,0.1,0.0015,0.9,58233.1,30921310.3,Warehouse_1,ID_813
3.3,0.4,16730000.3,254459793.6,0.4,1.5,0.1,0.4,1050.6,10306.3,28913.5,11837.7,14456.7,0.1,0.002,0.5,86631.8,31914945.4,Warehouse_1,ID_815
4.8,0.5,16729999.7,381490623.7,0.3,3.8,0.1,0.6,1580.5,15504.6,35931.2,21604.5,17965.6,0.1,0.0048,1.9,115763.9,5921565.9,Warehouse_2,ID_820
4.6,0.4,16729999.7,316596207.6,0.4,2.5,0.2,0.8,2088.3,20486.0,42656.1,24274.7,21328.1,0.2,0.0046,1.1,160846.5,59366469.9,Warehouse_4,ID_822
4.4,0.4,16730000.4,582244223.1,0.4,2.3,0.2,0.8,2002.3,19642.5,41517.4,22629.7,20758.7,0.2,0.0041,1.8,156326.9,25007581.5,Warehouse_4,ID_825
3.0,0.3,16730000.5,287251826.1,0.4,1.4,0.1,0.4,993.8,9749.6,28162.0,10401.6,14081.0,0.1,0.0019,0.6,73170.4,33377154.3,Warehouse_6,ID_841
4.2,0.3,16729999.2,230254570.0,0.3,1.3,0.1,0.5,1116.5,10953.3,29787.0,15503.6,14893.5,0.1,0.0015,0.4,67433.0,22943562.1,Warehouse_1,ID_845
4.7,0.4,16730000.5,218263690.3,0.3,2.7,0.1,0.6,1470.2,14422.5,34470.4,20169.1,17235.2,0.1,0.0034,0.8,108816.9,38745609.6,Warehouse_8,ID_848
5.9,0.5,16729999.1,408452339.4,0.4,2.7,0.2,1.0,2626.2,25763.1,49780.2,36623.0,24890.1,0.2,0.0047,1.4,161930.3,47222223.6,Warehouse_4,ID_852
3.8,0.4,16730001.7,191774834.1,0.4,0.5,0.1,0.5,1246.7,12230.4,31511.0,14902.6,15755.5,0.1,0.0007,0.1,87921.5,10426251.4,Warehouse_3,ID_862
3.5,0.4,16730001.1,352401950.9,0.4,1.9,0.2,0.6,1383.5,13572.5,33322.8,14693.5,16661.4,0.2,0.003,0.9,115594.8,49785647.1,Warehouse_8,ID_880
3.1,0.3,16729999.0,366973265.0,0.3,2.3,0.1,0.2,529.7,5195.9,22014.4,8629.4,11007.2,0.1,0.0015,1.3,26910.5,17939191.0,Warehouse_7,ID_881
4.0,0.4,16730000.5,374905781.8,0.4,3.1,0.2,0.6,1571.2,15413.1,35807.7,18012.4,17903.9,0.1,0.0046,1.6,112931.1,33921098.8,Warehouse_2,ID_886
4.5,0.5,16730001.2,190015875.1,0.3,0.6,0.1,0.6,1430.4,14032.2,33943.4,19108.3,16971.7,0.1,0.0008,0.2,124601.6,12389546.8,Warehouse_8,ID_910
4.7,0.5,16730000.0,438436916.5,0.3,1.4,0.1,0.6,1452.6,14250.2,34237.8,19983.0,17118.9,0.1,0.0018,0.8,121834.5,40513448.6,Warehouse_5,ID_913
3.9,0.4,16730000.5,314839591.9,0.5,1.8,0.2,0.7,1833.0,17981.5,39275.1,19090.1,19637.5,0.2,0.0034,0.8,148161.4,57304537.4,Warehouse_4,ID_914
4.7,0.5,16730000.7,409017209.0,0.5,0.2,0.2,1.1,2592.3,25430.6,49331.4,29169.9,24665.7,0.2,0.0005,0.1,222579.4,17017530.9,Warehouse_6,ID_917
4.2,0.4,16729999.6,490658057.7,0.3,2.6,0.1,0.6,1489.2,14609.0,34722.1,18123.3,17361.0,0.1,0.0036,1.7,120430.9,24924077.3,Warehouse_3,ID_932
3.3,0.3,16729998.7,257279602.0,0.4,2.9,0.2,0.5,1295.8,12711.6,32160.7,13433.4,16080.3,0.1,0.0044,1.0,94802.2,47314224.6,Warehouse_1,ID_942
4.2,0.4,16730000.7,310297466.7,0.4,2.8,0.2,0.7,1714.3,16817.5,37703.6,19950.0,18851.8,0.2,0.0045,1.2,107205.2,47972515.5,Warehouse_6,ID_947
4.0,0.4,16729999.3,224322581.7,0.3,2.2,0.1,0.4,1043.2,10233.8,28815.7,14358.0,14407.8,0.1,0.0023,0.7,80833.3,29913039.8,Warehouse_7,ID_954
4.4,0.5,16729999.9,506051884.4,0.5,0.8,0.2,1.0,2331.9,22876.0,45882.5,24984.9,22941.3,0.2,0.0017,0.5,204021.4,55972079.1,Warehouse_2,ID_956
4.9,0.4,16730001.0,295000810.6,0.4,1.7,0.2,0.8,2107.2,20671.2,42906.2,26245.4,21453.1,0.2,0.0029,0.7,138582.1,49599863.3,Warehouse_2,ID_958
3.7,0.4,16729998.9,336353472.4,0.4,2.9,0.2,0.6,1448.4,14209.0,34182.2,15653.1,17091.1,0.2,0.0044,1.3,115582.3,44986895.6,Warehouse_1,ID_970
2.8,0.3,16730000.3,456016305.2,0.4,1.4,0.1,0.3,816.4,8008.9,25812.1,9105.9,12906.0,0.1,0.0016,0.9,65296.8,35503387.7,Warehouse_6,ID_978
5.0,0.4,16730001.6,389122240.5,0.4,0.8,0.2,0.9,2084.6,20449.9,42607.3,26628.2,21303.7,0.2,0.0013,0.4,134912.8,36157034.8,Warehouse_3,ID_981
4.1,0.4,16729999.4,421112351.6,0.4,0.3,0.2,0.6,1512.4,14836.8,35029.7,18162.1,17514.8,0.2,0.0005,0.2,119398.8,17253827.0,Warehouse_5,ID_983
4.5,0.4,16729999.7,270866318.2,0.5,0.9,0.2,0.9,2274.7,22314.3,45124.3,25506.4,22562.2,0.2,0.0019,0.3,176552.9,37297006.1,Warehouse_5,ID_985
3.6,0.4,16730000.8,450361451.4,0.5,2.2,0.2,0.7,1745.1,17119.6,38111.5,17162.7,19055.7,0.2,0.0042,1.3,138911.5,54224755.2,Warehouse_1,ID_986
3.7,0.4,16730001.0,337352714.6,0.4,2.3,0.1,0.5,1362.9,13370.1,33049.6,15116.6,16524.8,0.1,0.0033,1.0,109145.3,47270100.2,Warehouse_4,ID_987
4.6,0.5,16730000.4,461771042.1,0.5,2.6,0.2,1.0,2595.2,25459.2,49369.9,28218.7,24684.9,0.2,0.0058,1.6,201297.6,48144226.8,Warehouse_7,ID_1009
3.4,0.4,16730000.8,271604240.4,0.3,3.7,0.1,0.5,1188.7,11661.5,30743.0,13248.6,15371.5,0.1,0.0049,1.4,93616.3,36564832.0,Warehouse_4,ID_1020
3.3,0.3,16729998.9,258350684.7,0.3,1.0,0.1,0.3,823.1,8075.0,25901.3,10656.9,12950.6,0.1,0.001,0.4,58880.7,18339220.7,Warehouse_8,ID_1021
4.0,0.4,16730000.4,358579993.8,0.3,0.3,0.1,0.5,1271.9,12477.5,31844.6,15946.1,15922.3,0.1,0.0004,0.1,111030.7,11083815.1,Warehouse_1,ID_1026
4.2,0.4,16730000.3,347043942.2,0.5,0.2,0.2,0.8,1963.6,19263.3,41005.5,21774.3,20502.7,0.2,0.0004,0.1,139361.1,12126610.5,Warehouse_7,ID_1029
3.4,0.4,16729999.7,300364162.7,0.3,3.5,0.1,0.3,879.8,8630.4,26651.0,11338.2,13325.5,0.1,0.0035,1.4,66625.5,25626253.5,Warehouse_3,ID_1030
4.1,0.3,16729999.1,261980359.6,0.3,1.2,0.1,0.3,843.7,8276.5,26173.3,13290.2,13086.7,0.1,0.001,0.4,45807.0,17358593.1,Warehouse_3,ID_1032
3.5,0.3,16730001.0,455644169.0,0.4,0.7,0.1,0.4,1002.6,9835.5,28277.9,12509.0,14139.0,0.1,0.0009,0.5,57906.2,25740887.1,Warehouse_5,ID_1049
4.3,0.5,16730000.3,282094968.7,0.4,2.1,0.2,0.7,1878.8,18430.6,39881.2,21539.0,19940.6,0.2,0.0037,0.8,155460.5,54541323.2,Warehouse_2,ID_1074
4.9,0.4,16730001.3,407959260.5,0.5,1.2,0.2,1.0,2430.1,23839.5,47183.4,28677.3,23591.7,0.2,0.0025,0.7,160209.7,58699588.5,Warehouse_4,ID_1080
3.6,0.3,16729999.4,357989006.4,0.4,2.0,0.1,0.5,1323.9,12987.4,32533.1,14548.5,16266.5,0.1,0.003,1.0,88028.4,45679141.9,Warehouse_2,ID_1083
4.2,0.4,16730000.0,270322822.1,0.4,0.2,0.2,0.7,1682.9,16509.0,37287.2,19397.2,18643.6,0.2,0.0003,0.1,124315.1,6893011.9,Warehouse_8,ID_1088
3.2,0.3,16730000.3,335790147.6,0.4,3.4,0.1,0.4,1062.9,10426.8,29076.2,11751.8,14538.1,0.1,0.0043,1.6,72814.9,24725462.2,Warehouse_6,ID_1093
5.1,0.4,16730000.4,289595820.2,0.4,2.5,0.2,0.8,1933.2,18964.7,40602.3,25782.2,20301.2,0.1,0.0037,1.0,107982.9,47916687.0,Warehouse_1,ID_1114
4.1,0.4,16730000.5,361573293.9,0.5,3.2,0.2,0.9,2322.5,22783.4,45757.5,23563.9,22878.8,0.2,0.0071,1.6,190398.5,49678906.2,Warehouse_1,ID_1121
4.0,0.4,16729998.8,371922565.6,0.3,3.3,0.1,0.5,1370.3,13442.6,33147.5,16703.7,16573.7,0.1,0.0043,1.6,111648.1,26105765.9,Warehouse_8,ID_1125
4.8,0.4,16730000.0,105877277.8,0.3,1.0,0.1,0.6,1436.1,14088.1,34018.9,20607.3,17009.4,0.1,0.0011,0.1,98073.1,9864045.1,Warehouse_3,ID_1132
3.7,0.4,16729999.8,396082492.0,0.3,1.0,0.1,0.3,855.7,8394.4,26332.5,12035.5,13166.2,0.1,0.0009,0.5,62543.7,23306932.9,Warehouse_6,ID_1143
4.9,0.4,16730000.3,342169006.6,0.4,1.3,0.2,0.8,1927.6,18910.1,40528.6,24673.7,20264.3,0.2,0.0021,0.6,131741.4,44216875.8,Warehouse_6,ID_1162
4.0,0.3,16729999.9,461435054.3,0.4,2.7,0.1,0.6,1503.8,14752.0,34915.2,17415.8,17457.6,0.1,0.004,1.7,86646.7,20043549.2,Warehouse_3,ID_1184
3.6,0.4,16730001.0,315357548.3,0.5,3.3,0.2,0.7,1696.5,16642.7,37467.7,16908.8,18733.8,0.2,0.0059,1.4,131870.9,48981346.3,Warehouse_3,ID_1194
